PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
LEMON CREEK PARK,STATEN ISLAND,4,104.55,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPRING CREEK PARK,BROOKLYN/QUEENS,4,99.57,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HIGH ROCK PARK,STATEN ISLAND,4,94.10,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LONG POND PARK,STATEN ISLAND,4,91.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROOKVILLE PARK,QUEENS       ,4,89.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ISLE OF MEADOWS,STATEN ISLAND,4,87.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CALVERT VAUX PARK,BROOKLYN     ,4,85.53,ONE ACRE OR LARGER,0,0,1,0,0,1,0,2
PUGSLEY CREEK PARK,BRONX        ,4,83.62,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,4,83.30,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MOSHOLU PARKWAY,BRONX        ,4,80.94,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
MCGUIRE FIELDS,BROOKLYN     ,4,77.18,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRESH CREEK NATURE PRESERVE,BROOKLYN     ,4,77.04,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,4,72.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FORT TRYON PARK,MANHATTAN    ,4,67.21,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
RIVERSIDE PARK SOUTH,MANHATTAN    ,4,66.69,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EASTERN PARKWAY,BROOKLYN     ,4,65.70,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FOUR SPARROW MARSH,BROOKLYN     ,4,64.67,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FORT TOTTEN PARK,QUEENS       ,4,60.39,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ASTORIA PARK,QUEENS       ,4,59.96,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAURELTON PARKWAY,QUEENS       ,4,59.61,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RED HOOK RECREATION AREA,BROOKLYN     ,4,58.50,ONE ACRE OR LARGER,0,1,0,0,0,1,0,2
SHORE PARK AND PARKWAY,BROOKLYN     ,4,58.00,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,4,57.92,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JUNIPER VALLEY PARK,QUEENS       ,4,55.64,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2
LITTLE BAY PARK,QUEENS       ,4,55.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POWELL'S COVE PARK,QUEENS       ,4,55.02,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HENRY HUDSON PARKWAY,BRONX        ,4,54.10,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
